YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2001,1,AK,Total Electric Power Industry,Coal,"46,903"
2001,1,AK,Total Electric Power Industry,Petroleum,"71,085"
2001,1,AK,Total Electric Power Industry,Natural Gas,"367,521"
2001,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"104,549"
2001,1,AK,Total Electric Power Industry,Wind,87
2001,1,AK,Total Electric Power Industry,Total,"590,145"
2001,1,AK,"Electric Generators, Electric Utilities",Coal,"18,410"
2001,1,AK,"Electric Generators, Electric Utilities",Petroleum,"64,883"
2001,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"305,277"
2001,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"104,549"
2001,1,AK,"Electric Generators, Electric Utilities",Wind,87
2001,1,AK,"Electric Generators, Electric Utilities",Total,"493,206"
2001,1,AK,"Combined Heat and Power, Electric Power",Coal,"19,742"
2001,1,AK,"Combined Heat and Power, Electric Power",Petroleum,213
2001,1,AK,"Combined Heat and Power, Electric Power",Total,"19,955"
2001,1,AK,"Combined Heat and Power, Commercial Power",Coal,"8,751"
2001,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,"1,073"
2001,1,AK,"Combined Heat and Power, Commercial Power",Total,"9,824"
2001,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"4,916"
2001,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"62,244"
2001,1,AK,"Combined Heat and Power, Industrial Power",Total,"67,160"
2001,1,AL,Total Electric Power Industry,Coal,"6,557,913"
2001,1,AL,Total Electric Power Industry,Petroleum,"107,497"
2001,1,AL,Total Electric Power Industry,Natural Gas,"566,478"
2001,1,AL,Total Electric Power Industry,Other Gases,"25,283"
2001,1,AL,Total Electric Power Industry,Nuclear,"2,940,300"
2001,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"727,118"
2001,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"399,474"
2001,1,AL,Total Electric Power Industry,Other Biomass,"1,694"
2001,1,AL,Total Electric Power Industry,Other,885
2001,1,AL,Total Electric Power Industry,Total,"11,326,642"
2001,1,AL,"Electric Generators, Electric Utilities",Coal,"6,483,983"
2001,1,AL,"Electric Generators, Electric Utilities",Petroleum,"70,135"
2001,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"473,253"
2001,1,AL,"Electric Generators, Electric Utilities",Nuclear,"2,940,300"
2001,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"727,118"
2001,1,AL,"Electric Generators, Electric Utilities",Total,"10,694,789"
2001,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,417
2001,1,AL,"Electric Generators, Independent Power Producers",Total,417
2001,1,AL,"Combined Heat and Power, Electric Power",Coal,"25,099"
2001,1,AL,"Combined Heat and Power, Electric Power",Petroleum,35
2001,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,24
2001,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"22,816"
2001,1,AL,"Combined Heat and Power, Electric Power",Total,"47,974"
2001,1,AL,"Combined Heat and Power, Industrial Power",Coal,"48,831"
2001,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,"37,327"
2001,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"92,784"
2001,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,"25,283"
2001,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"376,658"
2001,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,"1,694"
2001,1,AL,"Combined Heat and Power, Industrial Power",Other,885
2001,1,AL,"Combined Heat and Power, Industrial Power",Total,"583,462"
2001,1,AR,Total Electric Power Industry,Coal,"2,149,808"
2001,1,AR,Total Electric Power Industry,Petroleum,"124,389"
2001,1,AR,Total Electric Power Industry,Natural Gas,"191,970"
2001,1,AR,Total Electric Power Industry,Nuclear,"1,028,544"
2001,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"272,026"
2001,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"135,977"
2001,1,AR,Total Electric Power Industry,Other Biomass,553
2001,1,AR,Total Electric Power Industry,Other,56
2001,1,AR,Total Electric Power Industry,Total,"3,903,323"
2001,1,AR,"Electric Generators, Electric Utilities",Coal,"2,135,834"
2001,1,AR,"Electric Generators, Electric Utilities",Petroleum,"116,283"
2001,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"151,188"
2001,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,028,544"
2001,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"272,023"
2001,1,AR,"Electric Generators, Electric Utilities",Total,"3,703,872"
2001,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,3
2001,1,AR,"Electric Generators, Independent Power Producers",Total,3
2001,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,270
2001,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,419
2001,1,AR,"Combined Heat and Power, Commercial Power",Total,689
2001,1,AR,"Combined Heat and Power, Industrial Power",Coal,"13,974"
2001,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,"8,106"
2001,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"40,512"
2001,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"135,977"
2001,1,AR,"Combined Heat and Power, Industrial Power",Other Biomass,134
2001,1,AR,"Combined Heat and Power, Industrial Power",Other,56
2001,1,AR,"Combined Heat and Power, Industrial Power",Total,"198,759"
2001,1,AZ,Total Electric Power Industry,Coal,"3,418,454"
2001,1,AZ,Total Electric Power Industry,Petroleum,"143,626"
2001,1,AZ,Total Electric Power Industry,Natural Gas,"651,812"
2001,1,AZ,Total Electric Power Industry,Nuclear,"2,733,255"
2001,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"607,969"
2001,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,0
2001,1,AZ,Total Electric Power Industry,Other Biomass,453
2001,1,AZ,Total Electric Power Industry,Pumped Storage,"18,356"
2001,1,AZ,Total Electric Power Industry,Total,"7,573,925"
2001,1,AZ,"Electric Generators, Electric Utilities",Coal,"3,385,613"
2001,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"143,514"
2001,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"609,804"
2001,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,733,255"
2001,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"607,969"
2001,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,0
2001,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2001,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"18,356"
2001,1,AZ,"Electric Generators, Electric Utilities",Total,"7,498,511"
2001,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,"40,812"
2001,1,AZ,"Combined Heat and Power, Electric Power",Total,"40,812"
2001,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,12
2001,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"1,192"
2001,1,AZ,"Combined Heat and Power, Commercial Power",Other Biomass,453
2001,1,AZ,"Combined Heat and Power, Commercial Power",Total,"1,657"
2001,1,AZ,"Combined Heat and Power, Industrial Power",Coal,"32,841"
2001,1,AZ,"Combined Heat and Power, Industrial Power",Petroleum,100
2001,1,AZ,"Combined Heat and Power, Industrial Power",Natural Gas,4
2001,1,AZ,"Combined Heat and Power, Industrial Power",Total,"32,945"
2001,1,CA,Total Electric Power Industry,Coal,"199,857"
2001,1,CA,Total Electric Power Industry,Petroleum,"459,703"
2001,1,CA,Total Electric Power Industry,Natural Gas,"10,192,494"
2001,1,CA,Total Electric Power Industry,Other Gases,"97,569"
2001,1,CA,Total Electric Power Industry,Nuclear,"2,379,998"
2001,1,CA,Total Electric Power Industry,Hydroelectric Conventional,"1,590,096"
2001,1,CA,Total Electric Power Industry,Wind,"133,423"
2001,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,"6,500"
2001,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,"313,245"
2001,1,CA,Total Electric Power Industry,Geothermal,"1,085,733"
2001,1,CA,Total Electric Power Industry,Other Biomass,"178,497"
2001,1,CA,Total Electric Power Industry,Pumped Storage,"-36,255"
2001,1,CA,Total Electric Power Industry,Other,"18,027"
2001,1,CA,Total Electric Power Industry,Total,"16,618,887"
2001,1,CA,"Electric Generators, Electric Utilities",Petroleum,"56,442"
2001,1,CA,"Electric Generators, Electric Utilities",Natural Gas,"1,229,547"
2001,1,CA,"Electric Generators, Electric Utilities",Nuclear,"2,379,998"
2001,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,539,067"
2001,1,CA,"Electric Generators, Electric Utilities",Wind,160
2001,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,29
2001,1,CA,"Electric Generators, Electric Utilities",Geothermal,-45
2001,1,CA,"Electric Generators, Electric Utilities",Other Biomass,"18,428"
2001,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,"-36,255"
2001,1,CA,"Electric Generators, Electric Utilities",Total,"5,187,371"
2001,1,CA,"Electric Generators, Independent Power Producers",Petroleum,"272,408"
2001,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,"5,882,306"
2001,1,CA,"Electric Generators, Independent Power Producers",Other Gases,0
2001,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"51,029"
2001,1,CA,"Electric Generators, Independent Power Producers",Wind,"133,263"
2001,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"6,471"
2001,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"182,078"
2001,1,CA,"Electric Generators, Independent Power Producers",Geothermal,"1,085,778"
2001,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,"134,581"
2001,1,CA,"Electric Generators, Independent Power Producers",Other,"16,604"
2001,1,CA,"Electric Generators, Independent Power Producers",Total,"7,764,518"
2001,1,CA,"Combined Heat and Power, Electric Power",Coal,"156,123"
2001,1,CA,"Combined Heat and Power, Electric Power",Petroleum,"73,191"
2001,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,"1,779,681"
2001,1,CA,"Combined Heat and Power, Electric Power",Other Gases,73
2001,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,"17,618"
